,crsp_fundno,caldt,dnav,dret,TICKER
0,31401,20101231,21.41,5e-06,VFIAX
1,31401,20110103,21.6,0.008874,VFIAX
2,31401,20110104,21.55,-0.002315,VFIAX
3,31401,20110105,21.61,0.002784,VFIAX
4,31401,20110106,21.57,-0.0018510000000000002,VFIAX
5,31401,20110107,21.55,-0.000927,VFIAX
6,31401,20110110,21.55,0.0,VFIAX
7,31401,20110111,21.63,0.0037119999999999996,VFIAX
8,31401,20110112,21.81,0.008322,VFIAX
9,31401,20110113,21.81,0.0,VFIAX
10,31401,20110114,21.91,0.0045850000000000005,VFIAX
11,31401,20110118,21.96,0.002282,VFIAX
12,31401,20110119,21.77,-0.008652,VFIAX
13,31401,20110120,21.66,-0.005053,VFIAX
14,31401,20110121,21.68,0.000923,VFIAX
15,31401,20110124,21.81,0.0059960000000000005,VFIAX
16,31401,20110125,21.81,0.0,VFIAX
17,31401,20110126,21.91,0.0045850000000000005,VFIAX
18,31401,20110127,21.96,0.002282,VFIAX
19,31401,20110128,21.65,-0.014117,VFIAX
20,31401,20110131,21.76,0.0050810000000000004,VFIAX
21,31401,20110201,22.06,0.013787,VFIAX
22,31401,20110202,22.03,-0.0013599999999999999,VFIAX
23,31401,20110203,22.04,0.000454,VFIAX
24,31401,20110204,22.07,0.001361,VFIAX
25,31401,20110207,22.18,0.004984000000000001,VFIAX
26,31401,20110208,22.24,0.002705,VFIAX
27,31401,20110209,22.2,-0.0017989999999999998,VFIAX
28,31401,20110210,22.18,-0.000901,VFIAX
29,31401,20110211,22.28,0.004509,VFIAX
30,31401,20110214,22.35,0.0031420000000000003,VFIAX
31,31401,20110215,22.31,-0.00179,VFIAX
32,31401,20110216,22.45,0.006275,VFIAX
33,31401,20110217,22.53,0.003563,VFIAX
34,31401,20110218,22.56,0.001332,VFIAX
35,31401,20110222,22.17,-0.017287,VFIAX
36,31401,20110223,22.04,-0.005864,VFIAX
37,31401,20110224,22.05,0.000454,VFIAX
38,31401,20110225,22.28,0.010431000000000001,VFIAX
39,31401,20110228,22.37,0.004039,VFIAX
40,31401,20110301,22.11,-0.011623,VFIAX
41,31401,20110302,22.16,0.002261,VFIAX
42,31401,20110303,22.41,0.011281999999999999,VFIAX
43,31401,20110304,22.32,-0.004016,VFIAX
44,31401,20110307,22.16,-0.007168000000000001,VFIAX
45,31401,20110308,22.28,0.005415,VFIAX
46,31401,20110309,22.26,-0.000898,VFIAX
47,31401,20110310,21.92,-0.015274000000000001,VFIAX
48,31401,20110311,22.02,0.004562,VFIAX
49,31401,20110314,21.89,-0.0059039999999999995,VFIAX
50,31401,20110315,21.68,-0.009593,VFIAX
51,31401,20110316,21.4,-0.012915000000000001,VFIAX
52,31401,20110317,21.63,0.010748,VFIAX
53,31401,20110318,21.74,0.005086,VFIAX
54,31401,20110321,22.01,0.01242,VFIAX
55,31401,20110322,21.93,-0.003635,VFIAX
56,31401,20110323,21.99,0.002736,VFIAX
57,31401,20110324,22.16,0.007731,VFIAX
58,31401,20110325,22.18,0.0009029999999999999,VFIAX
59,31401,20110328,22.12,-0.002705,VFIAX
60,31401,20110329,22.23,0.004973,VFIAX
61,31401,20110330,22.38,0.0067480000000000005,VFIAX
62,31401,20110331,22.36,-0.0008939999999999999,VFIAX
63,31401,20110401,22.49,0.005814,VFIAX
64,31401,20110404,22.51,0.000889,VFIAX
65,31401,20110405,22.51,0.0,VFIAX
66,31401,20110406,22.55,0.001777,VFIAX
67,31401,20110407,22.5,-0.0022170000000000002,VFIAX
68,31401,20110408,22.47,-0.001333,VFIAX
69,31401,20110411,22.41,-0.00267,VFIAX
70,31401,20110412,22.27,-0.006247,VFIAX
71,31401,20110413,22.33,0.002694,VFIAX
72,31401,20110414,22.33,0.0,VFIAX
73,31401,20110415,22.4,0.003135,VFIAX
74,31401,20110418,22.17,-0.010268000000000001,VFIAX
75,31401,20110419,22.26,0.00406,VFIAX
76,31401,20110420,22.53,0.012129000000000001,VFIAX
77,31401,20110421,22.64,0.004882,VFIAX
78,31401,20110425,22.63,-0.000442,VFIAX
79,31401,20110426,22.78,0.006628,VFIAX
80,31401,20110427,22.89,0.004829,VFIAX
81,31401,20110428,22.96,0.003058,VFIAX
82,31401,20110429,23.01,0.0021780000000000002,VFIAX
83,31401,20110502,22.99,-0.000869,VFIAX
84,31401,20110503,22.88,-0.004785,VFIAX
85,31401,20110504,22.74,-0.0061189999999999994,VFIAX
86,31401,20110505,22.59,-0.006595999999999999,VFIAX
87,31401,20110506,22.66,0.0030989999999999998,VFIAX
88,31401,20110509,22.77,0.004854,VFIAX
89,31401,20110510,22.92,0.006587999999999999,VFIAX
90,31401,20110511,22.73,-0.00829,VFIAX
91,31401,20110512,22.79,0.00264,VFIAX
92,31401,20110513,22.62,-0.007459,VFIAX
93,31401,20110516,22.51,-0.004863,VFIAX
94,31401,20110517,22.49,-0.0008880000000000001,VFIAX
95,31401,20110518,22.66,0.007559000000000001,VFIAX
96,31401,20110519,22.71,0.002207,VFIAX
97,31401,20110520,22.58,-0.005724,VFIAX
98,31401,20110523,22.32,-0.011515000000000001,VFIAX
99,31401,20110524,22.32,0.0,VFIAX
100,31401,20110525,22.4,0.0035840000000000004,VFIAX
101,31401,20110526,22.53,0.005804,VFIAX
102,31401,20110527,22.63,0.004439,VFIAX
103,31401,20110531,22.83,0.008838,VFIAX
104,31401,20110601,22.46,-0.016207,VFIAX
105,31401,20110602,22.46,0.0,VFIAX
106,31401,20110603,22.32,-0.006233,VFIAX
107,31401,20110606,22.12,-0.008961,VFIAX
108,31401,20110607,22.15,0.001356,VFIAX
109,31401,20110608,22.03,-0.005418,VFIAX
110,31401,20110609,22.12,0.004085,VFIAX
111,31401,20110610,21.86,-0.011754,VFIAX
112,31401,20110613,21.86,0.0,VFIAX
113,31401,20110614,22.08,0.010064,VFIAX
114,31401,20110615,21.78,-0.013587,VFIAX
115,31401,20110616,21.75,-0.001377,VFIAX
116,31401,20110617,21.8,0.002299,VFIAX
117,31401,20110620,21.86,0.002752,VFIAX
118,31401,20110621,22.13,0.012351,VFIAX
119,31401,20110622,22.03,-0.004519,VFIAX
120,31401,20110623,21.99,-0.001816,VFIAX
121,31401,20110624,21.82,-0.007731,VFIAX
122,31401,20110627,21.94,0.0055,VFIAX
123,31401,20110628,22.13,0.00866,VFIAX
124,31401,20110629,22.31,0.008134,VFIAX
125,31401,20110630,22.5,0.008516,VFIAX
126,31401,20110701,22.72,0.009778,VFIAX
127,31401,20110705,22.71,-0.00044,VFIAX
128,31401,20110706,22.71,0.0,VFIAX
129,31401,20110707,22.89,0.007926,VFIAX
130,31401,20110708,22.78,-0.004806,VFIAX
131,31401,20110711,22.4,-0.016681,VFIAX
132,31401,20110712,22.31,-0.004018,VFIAX
133,31401,20110713,22.43,0.005379,VFIAX
134,31401,20110714,22.28,-0.006687,VFIAX
135,31401,20110715,22.37,0.004039,VFIAX
136,31401,20110718,22.16,-0.009387999999999999,VFIAX
137,31401,20110719,22.42,0.011733,VFIAX
138,31401,20110720,22.46,0.001784,VFIAX
139,31401,20110721,22.67,0.00935,VFIAX
140,31401,20110722,22.72,0.002206,VFIAX
141,31401,20110725,22.61,-0.004842,VFIAX
142,31401,20110726,22.57,-0.0017690000000000002,VFIAX
143,31401,20110727,22.19,-0.016837,VFIAX
144,31401,20110728,22.16,-0.001352,VFIAX
145,31401,20110729,22.12,-0.001805,VFIAX
146,31401,20110801,22.02,-0.004521,VFIAX
147,31401,20110802,21.59,-0.019528,VFIAX
148,31401,20110803,21.66,0.003242,VFIAX
149,31401,20110804,20.81,-0.039243,VFIAX
150,31401,20110805,20.7,-0.005286,VFIAX
151,31401,20110808,19.62,-0.052174,VFIAX
152,31401,20110809,20.36,0.037717,VFIAX
153,31401,20110810,19.69,-0.032908,VFIAX
154,31401,20110811,20.35,0.03352,VFIAX
155,31401,20110812,20.49,0.00688,VFIAX
156,31401,20110815,20.82,0.016105,VFIAX
157,31401,20110816,20.67,-0.007205,VFIAX
158,31401,20110817,20.68,0.000484,VFIAX
159,31401,20110818,19.92,-0.03675,VFIAX
160,31401,20110819,19.69,-0.011545999999999999,VFIAX
161,31401,20110822,19.7,0.000508,VFIAX
162,31401,20110823,20.18,0.024365,VFIAX
163,31401,20110824,20.33,0.0074329999999999995,VFIAX
164,31401,20110825,20.07,-0.012789,VFIAX
165,31401,20110826,20.34,0.013453,VFIAX
166,31401,20110829,20.78,0.021632,VFIAX
167,31401,20110830,20.82,0.001925,VFIAX
168,31401,20110831,20.96,0.006723999999999999,VFIAX
169,31401,20110901,20.78,-0.008588,VFIAX
170,31401,20110902,20.37,-0.019731,VFIAX
171,31401,20110906,20.15,-0.0108,VFIAX
172,31401,20110907,20.62,0.023325,VFIAX
173,31401,20110908,20.43,-0.009214,VFIAX
174,31401,20110909,20.0,-0.021047,VFIAX
175,31401,20110912,20.03,0.0015,VFIAX
176,31401,20110913,20.18,0.007489,VFIAX
177,31401,20110914,20.4,0.010902,VFIAX
178,31401,20110915,20.64,0.011765000000000001,VFIAX
179,31401,20110916,20.69,0.0024219999999999997,VFIAX
180,31401,20110919,20.49,-0.009667,VFIAX
181,31401,20110920,20.43,-0.002928,VFIAX
182,31401,20110921,19.98,-0.022026,VFIAX
183,31401,20110922,19.48,-0.025025,VFIAX
184,31401,20110923,19.56,0.004107,VFIAX
185,31401,20110926,19.84,0.014315000000000001,VFIAX
186,31401,20110927,20.08,0.012097,VFIAX
187,31401,20110928,19.74,-0.016932,VFIAX
188,31401,20110929,19.87,0.006586,VFIAX
189,31401,20110930,19.46,-0.020634,VFIAX
190,31401,20111003,18.99,-0.024152,VFIAX
191,31401,20111004,19.32,0.017378,VFIAX
192,31401,20111005,19.6,0.014493,VFIAX
193,31401,20111006,19.92,0.016327,VFIAX
194,31401,20111007,19.78,-0.007028,VFIAX
