Symbol,Year
MMM,2020
ABT,2020
ABBV,2020
ABMD,2020
ACN,2020
ATVI,2020
ADBE,2020
AMD,2020
AAP,2020
AES,2020
AFL,2020
A,2020
APD,2020
AKAM,2020
ALK,2020
ALB,2020
ARE,2020
ALXN,2020
ALGN,2020
ALLE,2020
LNT,2020
ALL,2020
GOOGL,2020
GOOG,2020
MO,2020
AMZN,2020
AMCR,2020
AEE,2020
AAL,2020
AEP,2020
AXP,2020
AIG,2020
AMT,2020
AWK,2020
AMP,2020
ABC,2020
AME,2020
AMGN,2020
APH,2020
ADI,2020
ANSS,2020
ANTM,2020
AON,2020
AOS,2020
APA,2020
AAPL,2020
AMAT,2020
APTV,2020
ADM,2020
ANET,2020
AJG,2020
AIZ,2020
T,2020
ATO,2020
ADSK,2020
ADP,2020
AZO,2020
AVB,2020
AVY,2020
BKR,2020
BLL,2020
BAC,2020
BK,2020
BAX,2020
BDX,2020
BRK.B,2020
BBY,2020
BIO,2020
BIIB,2020
BLK,2020
BA,2020
BKNG,2020
BWA,2020
BXP,2020
BSX,2020
BMY,2020
AVGO,2020
BR,2020
BF.B,2020
CHRW,2020
COG,2020
CDNS,2020
CPB,2020
COF,2020
CAH,2020
KMX,2020
CCL,2020
CARR,2020
CTLT,2020
CAT,2020
CBOE,2020
CBRE,2020
CDW,2020
CE,2020
CNC,2020
CNP,2020
CERN,2020
CF,2020
SCHW,2020
CHTR,2020
CVX,2020
CMG,2020
CB,2020
CHD,2020
CI,2020
CINF,2020
CTAS,2020
CSCO,2020
C,2020
CFG,2020
CTXS,2020
CLX,2020
CME,2020
CMS,2020
KO,2020
CTSH,2020
CL,2020
CMCSA,2020
CMA,2020
CAG,2020
CXO,2020
COP,2020
ED,2020
STZ,2020
COO,2020
CPRT,2020
GLW,2020
CTVA,2020
COST,2020
CCI,2020
CSX,2020
CMI,2020
CVS,2020
DHI,2020
DHR,2020
DRI,2020
DVA,2020
DE,2020
DAL,2020
XRAY,2020
DVN,2020
DXCM,2020
FANG,2020
DLR,2020
DFS,2020
DISCA,2020
DISCK,2020
DISH,2020
DG,2020
DLTR,2020
D,2020
DPZ,2020
DOV,2020
DOW,2020
DTE,2020
DUK,2020
DRE,2020
DD,2020
DXC,2020
EMN,2020
ETN,2020
EBAY,2020
ECL,2020
EIX,2020
EW,2020
EA,2020
EMR,2020
ETR,2020
EOG,2020
EFX,2020
EQIX,2020
EQR,2020
ESS,2020
EL,2020
ETSY,2020
EVRG,2020
ES,2020
RE,2020
EXC,2020
EXPE,2020
EXPD,2020
EXR,2020
XOM,2020
FFIV,2020
FB,2020
FAST,2020
FRT,2020
FDX,2020
FIS,2020
FITB,2020
FE,2020
FRC,2020
FISV,2020
FLT,2020
FLIR,2020
FLS,2020
FMC,2020
F,2020
FTNT,2020
FTV,2020
FBHS,2020
FOXA,2020
FOX,2020
BEN,2020
FCX,2020
GPS,2020
GRMN,2020
IT,2020
GD,2020
GE,2020
GIS,2020
GM,2020
GPC,2020
GILD,2020
GL,2020
GPN,2020
GS,2020
GWW,2020
HAL,2020
HBI,2020
HIG,2020
HAS,2020
HCA,2020
PEAK,2020
HSIC,2020
HSY,2020
HES,2020
HPE,2020
HLT,2020
HFC,2020
HOLX,2020
HD,2020
HON,2020
HRL,2020
HST,2020
HWM,2020
HPQ,2020
HUM,2020
HBAN,2020
HII,2020
