,caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
0,20101231,-0.000271,-0.000276,-0.001106,-0.001115,11683073300.0,500,11699237000.0,500,1257.64,-0.00019099999999999998
1,20110103,0.011325,0.011290999999999999,0.011427,0.011393,11815016800.0,500,11683073300.0,500,1271.87,0.011315
2,20110104,-0.001236,-0.001254,-0.005422,-0.005429,11798066500.0,500,11822611900.0,500,1270.2,-0.0013130000000000001
3,20110105,0.005164,0.005039,0.00548,0.005384000000000001,11857520100.0,500,11798066500.0,500,1276.56,0.005007
4,20110106,-0.001715,-0.002089,-0.0018219999999999998,-0.001959,11832746800.0,500,11857520100.0,500,1273.85,-0.002123
5,20110107,-0.001755,-0.001757,-0.001302,-0.001308,11812045000.0,500,11832746800.0,500,1271.5,-0.0018449999999999999
6,20110110,-0.001549,-0.001549,-0.000597,-0.000597,11794102600.0,500,11812045000.0,500,1269.75,-0.001376
7,20110111,0.003829,0.003829,0.004007999999999999,0.004007999999999999,11839262900.0,500,11794102600.0,500,1274.48,0.003725
8,20110112,0.009032,0.008924,0.008958,0.008903,11944916900.0,500,11839262900.0,500,1285.96,0.009008
9,20110113,-0.001697,-0.001697,-0.001111,-0.001111,11924646700.0,500,11944916900.0,500,1283.76,-0.0017109999999999998
10,20110114,0.007206000000000001,0.0071719999999999996,0.006987,0.006973999999999999,12010179900.0,500,11924646700.0,500,1293.24,0.007384999999999999
11,20110118,0.0013830000000000001,0.0013599999999999999,0.003128,0.0031190000000000002,12034375600.0,500,12017876900.0,500,1295.02,0.001376
12,20110119,-0.00996,-0.010094,-0.012881,-0.012921,11912895900.0,500,12034375600.0,500,1281.92,-0.010116
13,20110120,-0.001058,-0.001059,-0.0019079999999999998,-0.001912,11894610700.0,500,11912895900.0,500,1280.26,-0.001295
14,20110121,0.002205,0.002183,0.00088,0.0008619999999999999,11920658600.0,500,11894610700.0,500,1283.35,0.002414
15,20110124,0.005643,0.005643,0.006065999999999999,0.006065999999999999,11988075000.0,500,11920658600.0,500,1290.84,0.005836
16,20110125,0.0004,0.00037200000000000004,-0.000328,-0.00038500000000000003,11992532700.0,500,11988075000.0,500,1291.18,0.000263
17,20110126,0.00433,0.004295,0.006758,0.006686,12044104600.0,500,11992532700.0,500,1296.63,0.004221
18,20110127,0.002442,0.002392,0.004468,0.004372,12072929000.0,500,12044104600.0,500,1299.54,0.0022440000000000003
19,20110128,-0.017916,-0.017941,-0.019091,-0.019176,11856072000.0,500,12072929000.0,500,1276.34,-0.017852
20,20110131,0.007465,0.007465,0.0084,0.0084,11992702700.0,500,11856072000.0,500,1286.12,0.007663
21,20110201,0.016541999999999998,0.016538999999999998,0.015073,0.015056,12191073900.0,500,11992702700.0,500,1307.59,0.016694
22,20110202,-0.00247,-0.002646,-0.002388,-0.002464,12158822400.0,500,12191073900.0,500,1304.03,-0.002723
23,20110203,0.002366,0.002231,0.005072,0.004989,12185947200.0,500,12158822400.0,500,1307.1,0.0023539999999999998
24,20110204,0.002751,0.0027370000000000003,0.005501,0.005444,12218805400.0,500,12185947200.0,500,1310.87,0.002884
25,20110207,0.006562,0.006548,0.006089,0.006064,12298794500.0,500,12218805400.0,500,1319.05,0.00624
26,20110208,0.004593,0.004289,0.004255,0.004137,12351565600.0,500,12298794500.0,500,1324.57,0.004185
27,20110209,-0.0027300000000000002,-0.002856,-0.0024649999999999997,-0.0026100000000000003,12316294900.0,500,12351565600.0,500,1320.88,-0.002786
28,20110210,0.0007440000000000001,0.000665,0.0037840000000000005,0.003664,12324562900.0,500,12316294900.0,500,1321.87,0.00075
29,20110211,0.005651,0.005507,0.006665000000000001,0.006516,12392676000.0,500,12324562900.0,500,1329.15,0.005507
30,20110214,0.0024100000000000002,0.0022129999999999997,0.001625,0.001525,12420121300.0,500,12392676000.0,500,1332.32,0.002385
31,20110215,-0.003153,-0.003281,-0.0032979999999999997,-0.0033380000000000003,12379385000.0,500,12420121300.0,500,1328.01,-0.003235
32,20110216,0.006311,0.0061329999999999996,0.008281,0.008059,12455388700.0,500,12379385000.0,500,1336.32,0.006257
33,20110217,0.0032549999999999996,0.003169,0.004602,0.004545,12494801500.0,500,12455388700.0,500,1340.43,0.003076
34,20110218,0.001846,0.001842,0.0017739999999999998,0.001766,12516486800.0,500,12494801500.0,500,1343.01,0.001925
35,20110222,-0.020693,-0.020707,-0.023387,-0.023428,12257132400.0,500,12516486800.0,500,1315.44,-0.020529
36,20110223,-0.0061340000000000006,-0.006183,-0.009231,-0.009313,12181232300.0,500,12257132400.0,500,1307.4,-0.006111999999999999
37,20110224,-0.000795,-0.0010279999999999998,0.000807,0.000628,12168720900.0,500,12181232300.0,500,1306.1,-0.0009939999999999999
38,20110225,0.010296,0.010031,0.013984,0.013768,12290626200.0,500,12168720900.0,500,1319.88,0.01055
39,20110228,0.00512,0.005067,0.004406,0.0043289999999999995,12350222100.0,500,12296221200.0,500,1327.22,0.005561
40,20110301,-0.015713,-0.015714,-0.017399,-0.017401,12173761000.0,500,12368073600.0,500,1306.33,-0.01574
41,20110302,0.002,0.001837,0.003025,0.002882,12196541700.0,500,12173761000.0,500,1308.44,0.001615
42,20110303,0.017027,0.016987000000000002,0.017841,0.017802000000000002,12403795000.0,500,12196541700.0,500,1330.97,0.017218999999999998
43,20110304,-0.00728,-0.0072840000000000005,-0.0067209999999999995,-0.006729000000000001,12313965500.0,500,12403795000.0,500,1321.15,-0.007378
44,20110307,-0.008306000000000001,-0.008341,-0.009655,-0.009748999999999999,12211289400.0,500,12313965500.0,500,1310.13,-0.008341
45,20110308,0.00911,0.008916,0.010391,0.010126000000000001,12320140500.0,500,12211289400.0,500,1321.82,0.008923
46,20110309,-0.001121,-0.001315,-0.001556,-0.0017289999999999999,12303938900.0,500,12320140500.0,500,1320.02,-0.001362
47,20110310,-0.018763,-0.018765999999999998,-0.018543,-0.018545,12073063900.0,500,12303938900.0,500,1295.11,-0.018871000000000002
48,20110311,0.0073939999999999995,0.007093,0.009379,0.009198999999999999,12159120500.0,500,12073063900.0,500,1304.28,0.0070799999999999995
49,20110314,-0.005894,-0.005926,-0.006354,-0.006385,12087065400.0,500,12159120500.0,500,1296.39,-0.0060490000000000006
50,20110315,-0.011073000000000001,-0.011076,-0.009915,-0.009928,11952958300.0,500,12087065400.0,500,1281.87,-0.0112
51,20110316,-0.019372999999999998,-0.019406,-0.016072,-0.016128999999999998,11721012500.0,500,11952958300.0,500,1256.88,-0.019495
52,20110317,0.012991999999999998,0.012963999999999998,0.011115,0.011034,11872997700.0,500,11721012500.0,500,1273.72,0.013397999999999998
53,20110318,0.004214,0.004214,0.005409000000000001,0.005409000000000001,11921917800.0,500,11872997700.0,500,1279.2,0.004302
