,0
2010-12-31,100000000.0
2011-01-03,101113427.06950001
2011-01-04,101015708.42210564
2011-01-05,101563216.33424434
2011-01-06,101398876.41039757
2011-01-07,101213099.55109438
2011-01-10,101046469.82590571
2011-01-11,101396176.70505895
2011-01-12,102323186.63108802
2011-01-13,102117222.13616705
2011-01-14,102869420.76899444
2011-01-18,102959697.18117672
2011-01-19,101989681.41228804
2011-01-20,101849477.22859451
2011-01-21,102097820.37801547
2011-01-24,102648432.55433957
2011-01-25,102708336.67526537
2011-01-26,103108648.10701373
2011-01-27,103377815.13648796
2011-01-28,101526298.07688801
2011-01-31,102200763.81926054
2011-02-01,103943547.05817181
2011-02-02,103598288.11855732
2011-02-03,103788798.81777343
2011-02-04,103973855.63730888
2011-02-07,104635445.22351849
2011-02-08,105155634.19941369
2011-02-09,104870336.00136371
2011-02-10,104855432.25380404
2011-02-11,105450248.28987825
2011-02-14,105695465.67882827
2011-02-15,105385453.37312987
2011-02-16,105959484.83306055
2011-02-17,106225767.4249073
2011-02-18,106419894.67811537
2011-02-22,104268781.26853962
2011-02-23,103623088.74287029
2011-02-24,103491977.3878606
2011-02-25,104456739.27460413
2011-02-28,105034102.51592667
2011-03-01,103440668.16388637
2011-03-02,103561337.96559599
2011-03-03,105299021.8805282
2011-03-04,104505211.84125078
2011-03-07,103673028.70624593
2011-03-08,104650980.94007972
2011-03-09,104568967.02717328
2011-03-10,102647281.07159755
2011-03-11,103302648.95560394
2011-03-14,102649998.85119265
2011-03-15,101484596.674083
2011-03-16,99436902.53121687
2011-03-17,100736852.78582168
2011-03-18,101150331.56650552
2011-03-21,102620089.43362002
2011-03-22,102266839.06571998
2011-03-23,102555825.5435425
2011-03-24,103507726.12738116
2011-03-25,103814636.49920216
2011-03-28,103558248.84491506
2011-03-29,104293032.05276182
2011-03-30,105024470.49384566
2011-03-31,104797750.56597953
2011-04-01,105308749.39597954
2011-04-04,105355361.90347953
2011-04-05,105316676.94347954
2011-04-06,105668477.90847953
2011-04-07,105508343.83347952
2011-04-08,105092406.23847954
2011-04-11,104863872.44347952
2011-04-12,104117623.17847954
2011-04-13,104095168.62097953
2011-04-14,104056130.29797955
2011-04-15,104339438.12847956
2011-04-18,103265131.50847952
2011-04-19,103836923.86177953
2011-04-20,105176222.52907954
2011-04-21,105734382.74507953
2011-04-25,105586779.09607954
2011-04-26,106554770.60307953
2011-04-27,107323513.31307952
2011-04-28,107682291.09307952
2011-04-29,107916216.97307953
2011-05-02,107756247.14307953
2011-05-03,107504340.82307953
2011-05-04,106826136.64387953
2011-05-05,105801140.08387953
2011-05-06,106194269.89387953
2011-05-09,106596594.85787952
2011-05-10,107383388.91387954
2011-05-11,106352324.64187953
2011-05-12,106869047.07187954
2011-05-13,105981482.11837953
2011-05-16,105341993.35037953
2011-05-17,105380359.26237953
2011-05-18,106196277.36237954
2011-05-19,106447618.84837954
2011-05-20,105572976.15937954
2011-05-23,104354478.68537955
2011-05-24,104239985.34837952
2011-05-25,104511985.94037953
2011-05-26,104907460.92337953
2011-05-27,105372191.47837953
2011-05-31,106528882.48537953
2011-06-01,104119755.89937954
2011-06-02,103965956.55537951
2011-06-03,103012603.86587954
2011-06-06,101974138.44937955
2011-06-07,101835235.50487953
2011-06-08,101483558.86687954
2011-06-09,102238300.25087954
2011-06-10,100884592.15587953
2011-06-13,101066195.60087952
2011-06-14,102229023.34987955
2011-06-15,100444779.08787952
2011-06-16,100679428.63487953
2011-06-17,100951473.69287953
2011-06-20,101481471.96187954
2011-06-21,102804694.74187954
2011-06-22,102130642.87687953
2011-06-23,101860554.15787953
2011-06-24,100660821.82387954
2011-06-27,101631872.23387952
2011-06-28,102893280.56217954
2011-06-29,103757356.52717952
2011-06-30,104793373.44817953
2011-07-01,106154642.39667952
2011-07-05,106048098.36567953
2011-07-06,106235706.03567952
2011-07-07,107374945.50067954
2011-07-08,106692365.55567953
2011-07-11,104837571.84567954
2011-07-12,104362021.46067953
2011-07-13,104681805.63567953
2011-07-14,104017049.38067955
2011-07-15,104520705.05067953
2011-07-18,103731454.67567953
2011-07-19,105338156.09967951
2011-07-20,105288494.42067952
2011-07-21,106688164.21567954
2011-07-22,106758775.05067952
2011-07-25,106190259.34067953
2011-07-26,105768328.69067952
2011-07-27,103679467.61767954
2011-07-28,103376446.60067955
2011-07-29,102704440.09167954
2011-08-01,102389634.27067953
2011-08-02,99892153.70567954
2011-08-03,100488372.36567952
2011-08-04,95908341.30567953
2011-08-05,95938918.18567953
2011-08-08,89776259.13567951
2011-08-09,93928466.75567952
2011-08-10,89728692.41067953
2011-08-11,93756133.84817952
2011-08-12,94213203.41317952
2011-08-15,96187981.21817952
2011-08-16,95367883.38317953
2011-08-17,95509862.14067952
2011-08-18,91420310.64067952
2011-08-19,90056658.35067952
2011-08-22,90096097.13067952
2011-08-23,93095195.29567954
2011-08-24,94333113.94467953
2011-08-25,92958089.25967953
2011-08-26,94284570.39467953
2011-08-29,96875986.87467954
2011-08-30,97079314.79717954
2011-08-31,97539227.07217953
2011-09-01,96405588.58717953
2011-09-02,94054609.73217954
2011-09-06,93382923.45217954
2011-09-07,96003366.88717954
2011-09-08,95023869.68717952
2011-09-09,92529345.83717953
2011-09-12,93200815.10617952
2011-09-13,94044291.52217953
2011-09-14,95298635.59717953
2011-09-15,96974552.12217952
2011-09-16,97571742.95217952
2011-09-19,96655213.68217953
2011-09-20,96505911.73717953
2011-09-21,93806689.17217952
2011-09-22,90863577.49717952
2011-09-23,91449589.90217952
2011-09-26,93520761.42217952
2011-09-27,94462098.82217954
2011-09-28,92725355.39277954
2011-09-29,93518108.79277952
2011-09-30,91257025.08777954
2011-10-03,88779857.93527955
2011-10-04,90681890.04527953
2011-10-05,92219956.75077954
2011-10-06,93815374.99277954
2011-10-07,93120394.06027953
2011-10-10,96290729.76027955
2011-10-11,96327541.82027954
2011-10-12,97342574.02027953
2011-10-13,96988218.65027955
2011-10-14,98665783.68027955
2011-10-17,96767043.64027953
2011-10-18,98688468.66027953
2011-10-19,97453430.42027955
2011-10-20,97904957.60027954
2011-10-21,99662134.81527954
2011-10-24,100857098.07027954
2011-10-25,98912485.09027955
2011-10-26,99909552.60027954
2011-10-27,103319080.13027954
2011-10-28,103380592.71027954
2011-10-31,100857171.92777954
2011-11-01,98063040.63527952
2011-11-02,99618983.36527953
2011-11-03,101493428.40027954
2011-11-04,100815302.28027953
2011-11-07,101499460.75027955
2011-11-08,102797790.27027954
2011-11-09,99122784.49527955
2011-11-10,99918597.53527954
2011-11-11,101832002.43527953
2011-11-14,100956513.81777954
2011-11-15,101398858.20777954
2011-11-16,99699055.19777954
2011-11-17,98101398.12777954
